id,bathrooms,bedrooms,price,square_feet,cityname,state,latitude,longitude,time,has_photo_Thumbnail,cityname_num,state_num,source
5668626833.0,1,0.0,1390.0,107.0,Arlington,VA,38.891,-77.0816,1577359410.0,1.0,52.0,45,9
5659918074.0,1,0.0,925.0,116.0,Seattle,WA,47.616,-122.3275,1576667743.0,1.0,1284.0,47,9
5667891676.0,1,0.0,2475.0,130.0,Manhattan,NY,40.7629,-73.9885,1577289784.0,1.0,820.0,34,2
5668610290.0,1,0.0,1495.0,138.0,San Francisco,CA,37.7599,-122.4379,1577358313.0,1.0,1246.0,4,9
5664571820.0,1,0.0,1695.0,190.0,San Francisco,CA,37.7599,-122.4379,1577015121.0,1.0,1246.0,4,9
5659276240.0,1,1.0,1560.0,200.0,New Bern,NC,35.0847,-77.0609,1576618076.0,1.0,965.0,27,3
5654898031.0,1,1.0,1560.0,200.0,New Bern,NC,35.096,-77.0272,1576406273.0,1.0,965.0,27,8
5664574876.0,1,1.0,1000.0,200.0,Spring,TX,30.0871,-95.4685,1577015327.0,1.0,1340.0,43,9
5668633573.0,1,1.0,950.0,200.0,Vallejo,CA,38.1172,-122.2313,1577359918.0,1.0,1437.0,4,9
5668624220.0,1,1.0,625.0,200.0,Marietta,GA,33.9649,-84.5107,1577359224.0,1.0,834.0,10,9
5653564493.0,1,1.0,600.0,200.0,Charlotte,NC,35.2016,-80.8124,1576322215.0,1.0,257.0,27,9
5668622178.0,1,1.0,544.0,200.0,Tallahassee,FL,30.4601,-84.2714,1577359108.0,1.0,1384.0,9,9
5664577209.0,1,1.0,450.0,200.0,Phoenix,AZ,33.5178,-112.0848,1577015539.0,1.0,1099.0,3,9
5664574105.0,1,1.0,750.0,215.0,Riverview,FL,27.8492,-82.3155,1577015260.0,1.0,1194.0,9,9
5668624126.0,1,1.0,2000.0,219.0,Lafayette,AL,32.8956,-85.4351,1577359217.0,1.0,720.0,1,9
5668624017.0,1,1.0,1400.0,219.0,San Francisco,CA,37.7599,-122.4379,1577359209.0,1.0,1246.0,4,9
5668624367.0,1,1.0,1095.0,219.0,Glen Burnie,MD,39.1634,-76.6165,1577359234.0,1.0,527.0,20,9
5664570217.0,1,1.0,915.0,219.0,Littleton,CO,39.5816,-105.0387,1577015007.0,1.0,774.0,5,9
5664574791.0,1,1.0,900.0,219.0,Waldorf,MD,38.621,-76.9225,1577015319.0,1.0,1459.0,20,9
5664573949.0,1,1.0,865.0,219.0,Riverview,FL,27.8492,-82.3155,1577015248.0,1.0,1194.0,9,9
5664570058.0,1,1.0,725.0,219.0,Aurora,CO,39.6828,-104.8078,1577014995.0,1.0,67.0,5,9
5668624549.0,1,1.0,650.0,219.0,Manassas,VA,38.7418,-77.4684,1577359248.0,1.0,816.0,45,9
5664572906.0,1,1.0,650.0,219.0,Decatur,GA,33.7416,-84.2614,1577015182.0,1.0,362.0,10,9
5668624370.0,1,1.0,645.0,219.0,Tampa,FL,28.0076,-82.4792,1577359235.0,1.0,1385.0,9,9
5668625590.0,1,1.0,595.0,219.0,Albuquerque,NM,35.1038,-106.611,1577359326.0,1.0,13.0,32,9
5668634310.0,1,0.0,1195.0,223.0,Seattle,WA,47.616,-122.3275,1577359975.0,1.0,1284.0,47,9
5668640879.0,1,0.0,1150.0,225.0,Seattle,WA,47.616,-122.3275,1577360412.0,1.0,1284.0,47,9
5668625234.0,1,1.0,942.0,225.0,Chicago,IL,41.8625,-87.6825,1577359301.0,1.0,271.0,14,9
5668639212.0,1,0.0,1250.0,228.0,Seattle,WA,47.616,-122.3275,1577360296.0,1.0,1284.0,47,9
